training;age;emergency_braking;braking_distance;power;miles;risk;group_name;group
0;35.578187889450334;0;39.70938754277517;73.57918328874172;55.97865585311116;0.5951609585303016;low;2
0;24.30069663241175;0;39.08040833473382;143.24829041827712;122.9650796742083;4.450513768444432;high;0
0;41.20448795773146;0;40.51098177370851;112.09637416893642;115.98000314211953;3.4406672742745767;high;0
0;22.437736811659455;0;54.11262632904835;107.5287863646613;59.880219998929036;5.374831358260197;high;0
0;35.34912907905089;1;43.45465561376174;194.3814679403549;54.61955834453979;2.0498001153422942;medium;1
0;25.123037681746197;0;43.31146102187879;138.284925671313;121.91910646266147;4.877143972244696;high;0
0;33.91438065748948;1;40.88741842735196;214.2293314245684;68.72482247291532;1.2659517888786775;medium;1
0;66.16656713768126;0;45.26359851021739;219.99072260806224;152.7790066202428;11.707385313961382;high;0
0;18.961942727831154;1;41.44139770728222;103.92835047228711;73.09239690521981;2.9359870759560165;medium;1
0;21.916000269995095;0;43.48870160096151;173.00761994913898;68.46986538183269;4.7547763333046635;high;0
0;52.77512088568375;0;45.60092028477938;196.58698924139284;56.830195287723384;5.936489487115369;high;0
0;30.99213031359353;1;38.11642742106507;207.5717699973631;74.42577664351174;1.499925983120738;medium;1
0;44.41393069495853;1;31.66789399876768;207.06684134879288;94.55650882494709;2.8075993159902137;medium;1
0;25.88877703398606;1;40.93799900428631;107.58179169558636;90.22209084655303;1.2688096922698766;medium;1
0;32.87418148322507;0;40.92534086961617;140.83256544986025;81.14227354050246;1.9395899484272259;medium;1
0;30.85106923256303;1;42.47723344598764;155.11637715405442;131.43851449463457;3.2338721896938956;high;0
1;23.854265512970496;1;44.80993189784971;130.72815847274944;96.30108901073059;0.3488315319952379;low;2
0;47.19999330400043;1;43.90149527193817;86.87329484706682;92.48389774147759;3.129806823311921;high;0
1;28.48594495781231;0;32.801707957467585;128.56287266034536;110.598655731589;-2.4559756554152252;low;2
0;22.224288497205336;0;35.775777209888616;129.71877402772196;91.36409458654485;2.7083694876996303;medium;1
0;20.20808355949974;0;49.86876250438432;96.69469137348644;50.47891976059377;4.466871567112292;high;0
0;24.88586508640248;0;48.84391737129119;127.34210601166355;99.47164110925077;4.521687466969592;high;0
0;18.78523379361812;1;37.93255124712462;61.581155614792685;106.61504500885997;3.8982676799609886;high;0
0;22.069380992456576;0;38.680164437392115;142.0461788513356;152.84808321408266;5.348757904503947;high;0
0;30.847247143433517;1;39.44495475576618;104.71633762092168;80.03515894229093;-0.07367336449207922;low;2
0;28.050389685551522;0;36.4485257478664;98.58474865223108;30.541872559843956;1.2471436325495302;medium;1
0;29.906607642597738;1;35.91796135212166;126.11660439275887;106.01831411173866;1.5694319151851692;medium;1
0;24.362157112917245;1;49.79748850845529;138.54930582820276;102.60940522810476;4.701702798786979;high;0
